shoesIDX,shoesID,pro_name
618,1021A221-020,GEL-CITREK
619,1021A221-021,GEL-CITREK
620,1021A236-100,GEL-KAYANO 5 360
621,1021A238-020,GEL-KAYANO 5 OG
622,1021A238-100,GEL-KAYANO 5 OG
623,1021A241-001,GEL-BND
624,1021A269-001,GEL-NIMBUS 21
625,1021A270-600,GEL-NIMBUS 21
626,1021A271-200,GEL-KAYANO 5 OG
627,1021A272-201,GEL-KAYANO 26
628,1021A273-400,GEL-KAYANO 5 360
629,1022A006-400,GEL-Kenun Lyte MX
630,1022A006-600,GEL-Kenun Lyte MX
631,1022A013-001,HyperGEL-SAI
632,1022A013-002,HyperGEL-SAI
633,1022A013-020,HyperGEL-SAI
634,1022A013-100,HyperGEL-SAI
635,1022A013-300,HyperGEL-SAI
636,1022A025-200,GEL-Kenun Knit MX
637,1022A025-700,GEL-Kenun Knit MX
638,1022A027-001,GEL-Quantum 180 3
639,1022A027-020,GEL-Quantum 180 3
640,1022A027-021,GEL-Quantum 180 3
641,1022A028-001,GEL-Kayano 25 OBI
642,1022A028-100,GEL-Kayano 25 OBI
643,1022A029-001,GEL-Quantum 360 4
644,1022A029-020,GEL-Quantum 360 4
